designer,line,season,year,silhouette_score,fabric_weight,layering_density,color_range,color_intensity,distressing,patchwork,raw_edges,graphic_prints,notes
Yohji Yamamoto,Pour Homme,FW26,2026,4,4,3,3,2,1,1,1,1,"FW26 Pour Homme, 42 looks. Army/military/emotion theme, boxing speed bags on runway. Four-act structure: painterly camo prints open (1-6), earth-tone military layering follows (7-11), mid-show explores clean tailoring then cream/khaki tones then coated/waxed surfaces (12-26), final act builds progressively heavier patchwork/felting through finale (27-42). Palette unusually broad for Yohji but mostly desaturated: olive, navy, brown, cream, gray. Only 2 looks (18, 22) have genuinely bold color. Source: WWD FW26 review."
Yohji Yamamoto,Pour Homme,SS26,2026,3,2,2,2,2,0,0,0,1,"SS26 Pour Homme, 42 looks. Anti-war/environmental theme, Yohji sang blues and love songs during the show per WWD. Blue-painted runway and backdrop. Very lightweight spring fabrics: sheers, mesh, thin cotton, drapy silks. Predominantly black but with blue/purple ornate printed robes, blue/teal oceanic abstract imagery, and blue/purple graphic pieces. Text-based graphic prints are the defining feature: nuclear power disasters, let me the depth of the sea, HINDRANCE HYDROGEN IONS, and other protest/poetic phrases. Minimal layering for Yohji. Source: Vogue Runway, WWD SS26 review."
Yohji Yamamoto,Pour Homme,FW21,2021,4,4,3,1,1,0,0,1,1,"FW21 Pour Homme, 26 looks. Pandemic-era collection, all models wear face masks with Yohji text. Near-entirely black with only white accents. Sculptural oversized coats in stiff neoprene-like fabrics create extreme volume. Graphic prints prominent: portrait prints, white typography on black suits, Japanese text patches, red Amazing Grace embroidery on finale look. Fringe/raw hem on look 22 cape. Source: Vogue Runway."
Yohji Yamamoto,Pour Homme,SS21,2021,4,2,2,2,2,0,0,0,1,"SS21 Pour Homme, 23 looks. Pandemic-era spring collection. Predominantly black but with notable red moments: bold red military coat, red shirt, red tie, red/rust painterly prints. Lighter spring fabrics throughout, linen and lightweight cotton. Japanese calligraphy printed on black coats. Graphic portrait tees, abstract painterly prints. Adidas tee signals Y-3 crossover. Source: Vogue Runway."
Yohji Yamamoto,Pour Homme,FW16,2016,4,4,2,1,1,0,0,0,1,"FW16 Pour Homme, 40 looks. Near-total black. Heavy knits and wrapped volumes define the collection: chunky cowl-neck sweaters, oversized scarves, belted jackets. One cream chunky turtleneck is the lone non-black piece. Graphic line-drawing illustrations on black garments are the signature: white figure sketches, skull with text, Let me eat you with illustration in red text. Skirt/hakama-like trousers on several looks. Source: Vogue Runway."
Yohji Yamamoto,Pour Homme,SS16,2016,3,2,2,3,3,1,0,0,1,"SS16 Pour Homme, 39 looks. The outlier in Yohji catalog. Unusually colorful: bold abstract painterly brushstroke prints in blue, green, red, cream alongside traditional black looks. Natural linen/cream suits and navy pieces. Silhouettes noticeably slimmer than usual. Lightweight spring fabrics: linen, light cotton. Deliberately crinkled/crushed fabric textures throughout (borderline distressing). Line-drawing illustrations on blazers and shirts. Models have colorful face paint. Source: Vogue Runway."
Takahiro Miyashita,Number (N)ine,SS07,2007,2,2,3,3,2,1,0,1,1,"SS07 About a Boy, 30 looks. Kurt Cobain meets Johnny Cash. Faded earth tones: olive, khaki, tan, cream, navy, plaid. Slim silhouettes with layered vests over flowing shirts over tees. Rosaries, crosses, wide-brim hats, scarves. Washed/faded fabrics. Fringe on bags and trousers. Source: Vogue Runway."
Takahiro Miyashita,Number (N)ine,FW07,2007,3,4,3,2,1,1,0,1,0,"FW07 Love God Murder, 35 looks. Johnny Cash box set. Victorian gothic meets rock. Near-total black with gray/white plaid. Heavy velvet coats, knit balaclavas, plaid wool skirt-trousers. Embroidered trim bands on legs and sleeves. Source: Vogue Runway."
Takahiro Miyashita,Number (N)ine,SS08,2008,3,2,3,2,1,0,0,0,0,"SS08 Birds, 37 looks. Hitchcock reference. Blue-gray and black palette, cropped trousers throughout. Lighter spring fabrics. Clean construction, more polished than typical Number (N)ine. Caps and newsboy hats. Source: Vogue Runway."
Takahiro Miyashita,Number (N)ine,FW08,2008,3,3,3,4,3,1,0,0,0,"FW08 My Own Private Portland, 40 looks. Portland OR love letter. Warm Americana palette: red, orange, tan, mustard, khaki, plaid. Shearling jackets, corduroy coats, quilted vests, suede blazers. Most colorful Number (N)ine collection. Source: Vogue Runway."
Takahiro Miyashita,Number (N)ine,SS09,2009,2,2,3,4,3,1,1,1,1,"SS09 The Lonesome Hero, 35 looks. Theatrical Western/Victorian. Models wear colored wigs. All-white opening, mid-show introduces green, navy, burgundy. Patchwork mixed-fabric construction. Ornate brocade and floral prints. Most theatrical Number (N)ine collection. Source: Vogue Runway."
